year,field_of_study,major,students
2002,Humanities,Philosophy and Religious Studies,1990.0
2002,Humanities,Theology and Religious Vocations,4406.0
2002,Intensive English,Intensive English,17620.0
2002,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",723.0
2002,Legal Studies and Law Enforcement,Legal Professions and Studies,6411.0
2002,Math and Computer Science,Computer and Information Sciences,61857.0
2002,Math and Computer Science,Mathematics and Statistics,10069.0
2002,Other Fields of Study,Basic Skills,
2002,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3376.0
2002,Other Fields of Study,Liberal Arts and Sciences/General Studies,29972.0
2002,Other Fields of Study,Library Science,901.0
2002,Other Fields of Study,Multi/Interdisciplinary Studies,5058.0
2002,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2840.0
2002,Other Fields of Study,Personal and Culinary Services,787.0
2002,Other Fields of Study,Reserve Officer Training Corps,
2002,Physical and Life Sciences,Biological and Biomedical Sciences,22960.0
2002,Physical and Life Sciences,Physical Sciences,19484.0
2002,Physical and Life Sciences,Science Technologies/Technicians,1105.0
2002,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2304.0
2002,Social Sciences,History,
2002,Social Sciences,Psychology,8522.0
2002,Social Sciences,Public Administration and Social Service Professions,4814.0
2002,Social Sciences,Social Sciences,26775.0
2002,Undeclared,Undeclared,36395.0
2003,Agriculture,Agriculture,5406.0
2003,Agriculture,Natural Resources and Conservation,1886.0
2003,Business and Management,Business and Management,107909.0
2003,Communications and Journalism,"Communication, Journalism",9104.0
2003,Communications and Journalism,Communications Technologies/Technicians,2335.0
2003,Education,Education,15909.0
2003,Engineering,Construction Trades,184.0
2003,Engineering,Engineering,87528.0
2003,Engineering,Engineering Technologies/Technicians,5920.0
2003,Engineering,Mechanic and Repair Technologies/Technicians,486.0
2003,Engineering,Military Technologies,5.0
2003,Engineering,Precision Production,90.0
2003,Engineering,Transportation and Materials Moving,1012.0
2003,Fine and Applied Arts,Architecture,6678.0
2003,Fine and Applied Arts,Visual and Performing Arts,25204.0
2003,Health Professions,Health Professions,25749.0
2003,Health Professions,Residency Programs,
2003,Humanities,English Language and Literature/Letters,4841.0
2003,Humanities,"Foreign Languages, Literatures and Linguistics",5366.0
2003,Humanities,Philosophy and Religious Studies,2243.0
2003,Humanities,Theology and Religious Vocations,4172.0
2003,Intensive English,Intensive English,15006.0
2003,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",817.0
2003,Legal Studies and Law Enforcement,Legal Professions and Studies,6222.0
2003,Math and Computer Science,Computer and Information Sciences,57739.0
2003,Math and Computer Science,Mathematics and Statistics,9954.0
2003,Other Fields of Study,Basic Skills,
2003,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2801.0
2003,Other Fields of Study,Liberal Arts and Sciences/General Studies,32007.0
2003,Other Fields of Study,Library Science,742.0
2003,Other Fields of Study,Multi/Interdisciplinary Studies,7057.0
2003,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2872.0
2003,Other Fields of Study,Personal and Culinary Services,879.0
2003,Other Fields of Study,Reserve Officer Training Corps,
2003,Physical and Life Sciences,Biological and Biomedical Sciences,23290.0
2003,Physical and Life Sciences,Physical Sciences,19603.0
