year,academic_type,academic_level,students
2014,Undergraduate,Bachelor's,329301
2014,Graduate,Master's,208355
2014,Graduate,Doctoral,118104
2014,Graduate,Professional,10218
2014,Graduate,"Graduate, Unspecified",25551
2014,Non-Degree,"Non-Degree, Intensive English",46170
2014,Non-Degree,"Non-Degree, Other",47417
2014,OPT,OPT,120287
2015,Undergraduate,Associate's,78297
2015,Undergraduate,Bachelor's,349016
2015,Graduate,Master's,233463
2015,Graduate,Doctoral,122655
2015,Graduate,Professional,12742
2015,Graduate,"Graduate, Unspecified",15075
2015,Non-Degree,"Non-Degree, Intensive English",39444
2015,Non-Degree,"Non-Degree, Other",45649
2015,OPT,OPT,147498
2016,Undergraduate,Associate's,76353
2016,Undergraduate,Bachelor's,362666
2016,Graduate,Master's,237679
2016,Graduate,Doctoral,124705
2016,Graduate,Professional,12138
2016,Graduate,"Graduate, Unspecified",16602
2016,Non-Degree,"Non-Degree, Intensive English",30331
2016,Non-Degree,"Non-Degree, Other",42653
2016,OPT,OPT,175695
2017,Undergraduate,Associate's,78819
2017,Undergraduate,Bachelor's,363927
2017,Graduate,Master's,225883
2017,Graduate,Doctoral,123500
2017,Graduate,Professional,13020
2017,Graduate,"Graduate, Unspecified",20550
2017,Non-Degree,"Non-Degree, Intensive English",24651
2017,Non-Degree,"Non-Degree, Other",40980
2017,OPT,OPT,203462
2018,Undergraduate,Associate's,70286
2018,Undergraduate,Bachelor's,361644
2018,Graduate,Master's,220622
2018,Graduate,Doctoral,132581
2018,Graduate,Professional,12132
2018,Graduate,"Graduate, Unspecified",12608
2018,Non-Degree,"Non-Degree, Intensive English",22126
2018,Non-Degree,"Non-Degree, Other",40215
2018,OPT,OPT,223085
2019,Undergraduate,Associate's,62950
2019,Undergraduate,Bachelor's,356371
2019,Graduate,Master's,211283
2019,Graduate,Doctoral,136678
2019,Graduate,Professional,12014
2019,Graduate,"Graduate, Unspecified",14460
2019,Non-Degree,"Non-Degree, Intensive English",19227
2019,Non-Degree,"Non-Degree, Other",38974
2019,OPT,OPT,223539
2020,Undergraduate,Associate's,49949
2020,Undergraduate,Bachelor's,309838
2020,Graduate,Master's,166636
2020,Graduate,Doctoral,132703
2020,Graduate,Professional,12776
2020,Graduate,"Graduate, Unspecified",17157
2020,Non-Degree,"Non-Degree, Intensive English",7093
2020,Non-Degree,"Non-Degree, Other",14058
2020,OPT,OPT,203885
2021,Undergraduate,Associate's,40512
2021,Undergraduate,Bachelor's,304020
2021,Graduate,Master's,215076
2021,Graduate,Doctoral,135530
2021,Graduate,Professional,13582
2021,Graduate,"Graduate, Unspecified",20909
2021,Non-Degree,"Non-Degree, Intensive English",7737
2021,Non-Degree,"Non-Degree, Other",26394
2021,OPT,OPT,184759
2022,Undergraduate,Associate's,42547
2022,Undergraduate,Bachelor's,305055
2022,Graduate,Master's,294923
2022,Graduate,Doctoral,141301
2022,Graduate,Professional,17926
2022,Graduate,"Graduate, Unspecified",12877
2022,Non-Degree,"Non-Degree, Intensive English",10801
2022,Non-Degree,"Non-Degree, Other",32965
2022,OPT,OPT,198793
